City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Siguiri,GN,2022-10-03 05:41:55,11.6667,-9.5,71.4,96,99,2.77
152,Price,US,2022-10-03 05:41:56,39.5994,-110.8107,54.66,76,40,10.36
153,Banjar,ID,2022-10-03 05:41:57,-8.19,114.9675,83.7,79,83,1.3
154,Baghdad,IQ,2022-10-03 05:41:58,33.3406,44.4009,76.91,33,0,3.44
155,Yerbogachen,RU,2022-10-03 05:41:58,61.2767,108.0108,34.14,55,89,7.92
156,Port Hedland,AU,2022-10-03 05:41:59,-20.3167,118.5667,84.25,51,0,14.97
157,Bac Lieu,VN,2022-10-03 05:42:00,9.285,105.7244,81.55,78,100,12.8
158,Portland,US,2022-10-03 05:35:57,45.5234,-122.6762,72.18,70,0,8.05
159,Eyl,SO,2022-10-03 05:42:01,7.9803,49.8164,83.52,62,63,15.88
160,Klaksvik,FO,2022-10-03 05:42:01,62.2266,-6.589,52.72,78,85,16.62
161,Talnakh,RU,2022-10-03 05:42:02,69.4865,88.3972,33.21,94,100,14.25
162,Terney,RU,2022-10-03 05:42:02,45.0503,136.6092,63.28,80,62,9.71
163,Lokoja,NG,2022-10-03 05:42:03,7.8024,6.743,73.53,94,88,2.86
164,Lagoa,PT,2022-10-03 05:42:04,39.05,-27.9833,70.61,84,32,3.94
165,Atuona,PF,2022-10-03 05:42:04,-9.8,-139.0333,77.09,71,43,20.11
166,Monrovia,LR,2022-10-03 05:42:05,6.3005,-10.7969,73.17,90,99,4.7
167,Airai,TL,2022-10-03 05:42:06,-8.9266,125.4092,72.3,67,98,0.47
168,Praia,CV,2022-10-03 05:42:06,14.9215,-23.5087,79.34,73,75,12.66
169,Dikson,RU,2022-10-03 05:42:07,73.5069,80.5464,32.07,96,100,23.13
170,Roma,US,2022-10-03 05:42:07,43.2128,-75.4557,43.72,85,0,5.75
171,Lardos,GR,2022-10-03 05:42:08,36.0942,28.0157,76.82,45,0,11.43
172,Neiafu,TO,2022-10-03 05:42:08,-18.65,-173.9833,77.68,83,40,9.22
173,Zharkent,KZ,2022-10-03 05:42:09,44.1628,80.0,66.54,17,7,3.2
174,Sibolga,ID,2022-10-03 05:42:10,1.7427,98.7792,83.77,72,99,5.35
175,Palasa,IN,2022-10-03 05:42:10,18.7667,84.4167,87.57,69,96,9.22
176,Saint-Philippe,RE,2022-10-03 05:42:11,-21.3585,55.7679,74.79,73,21,12.88
177,Khatanga,RU,2022-10-03 05:42:11,71.9667,102.5,26.4,96,100,11.65
178,Severomuysk,RU,2022-10-03 05:42:12,56.1481,113.4267,17.64,75,95,5.46
179,Palana,RU,2022-10-03 05:42:13,59.1167,159.9667,35.4,95,100,10.38
180,Poum,NC,2022-10-03 05:42:14,-20.2333,164.0167,74.52,70,55,21.03
181,Moron,AR,2022-10-03 05:42:14,-34.6534,-58.6198,57.96,75,28,7.2
182,Tonj,SS,2022-10-03 05:43:15,7.2737,28.6822,77.13,80,67,6.58
183,Iqaluit,CA,2022-10-03 05:43:15,63.7506,-68.5145,28.13,79,20,8.05
184,Vila Velha,BR,2022-10-03 05:43:16,-20.3297,-40.2925,73.35,92,100,3.44
185,Sarakhs,IR,2022-10-03 05:43:16,36.5449,61.1577,72.54,16,0,6.62
186,Yenagoa,NG,2022-10-03 05:43:17,4.9247,6.2642,73.45,95,100,1.16
187,Bacolod,PH,2022-10-03 05:43:17,10.6667,122.95,86.52,71,79,6.15
188,Grindavik,IS,2022-10-03 05:43:18,63.8424,-22.4338,44.55,93,75,11.5
189,Lipin Bor,RU,2022-10-03 05:43:19,60.2622,37.9763,44.11,89,100,15.46
190,San Patricio,US,2022-10-03 05:43:19,28.017,-97.5169,76.84,54,98,3.96
191,Esterhazy,CA,2022-10-03 05:43:20,50.65,-102.0843,43.65,60,66,3.69
192,Bethel,US,2022-10-03 05:43:21,41.3712,-73.414,51.67,62,100,1.99
193,Lompoc,US,2022-10-03 05:43:21,34.6391,-120.4579,57.78,91,0,4.61
194,Abaza,RU,2022-10-03 05:43:22,52.655,90.0928,43.65,28,8,3.94
195,Clyde River,CA,2022-10-03 05:43:22,70.4692,-68.5914,28.63,80,100,4.61
196,Bardiyah,LY,2022-10-03 05:43:23,31.7561,25.0865,75.51,66,1,14.05
197,Lamar,US,2022-10-03 05:43:23,33.6668,-95.5836,63.36,61,0,3.44
198,Port Hawkesbury,CA,2022-10-03 05:43:24,45.6169,-61.3485,45.99,87,95,1.99
199,Sangar,RU,2022-10-03 05:43:24,63.9242,127.4739,29.89,61,71,11.1
200,Narsaq,GL,2022-10-03 05:43:25,60.9167,-46.05,35.82,60,55,6.02
201,Port Hardy,CA,2022-10-03 05:43:25,50.6996,-127.4199,51.98,100,100,4.61
202,Bom Jesus,BR,2022-10-03 05:43:26,-9.0744,-44.3586,75.16,34,9,3.29
203,Khani,GE,2022-10-03 05:43:26,41.9563,42.9566,54.97,94,97,2.84
204,Khandyga,RU,2022-10-03 05:43:27,62.6667,135.6,31.14,40,11,4.41
205,Bumba,CD,2022-10-03 05:43:28,2.1833,22.4667,72.82,87,98,3.02
206,Xuddur,SO,2022-10-03 05:43:28,4.1213,43.8894,78.71,48,71,17.63
207,Inuvik,CA,2022-10-03 05:43:29,68.3499,-133.7218,27.61,86,100,8.05
208,Qostanay,KZ,2022-10-03 05:43:29,53.1667,63.5833,46.69,29,0,6.71
209,Te Anau,NZ,2022-10-03 05:43:30,-45.4167,167.7167,44.94,80,81,3.04
210,Larsnes,NO,2022-10-03 05:43:31,62.2028,5.5773,52.0,87,92,12.39
211,Kurilsk,RU,2022-10-03 05:43:31,45.2333,147.8833,57.15,71,19,11.25
212,Dogondoutchi,NE,2022-10-03 05:43:32,13.6393,4.0287,81.0,69,74,12.15
213,Medicine Hat,CA,2022-10-03 05:41:29,50.0501,-110.6683,55.83,79,100,3.44
214,Codigoro,IT,2022-10-03 05:43:33,44.8311,12.1142,64.4,87,37,6.78
215,Burnie,AU,2022-10-03 05:43:33,-41.0667,145.9167,63.95,30,100,11.18
216,Nsanje,MW,2022-10-03 05:43:34,-16.92,35.262,81.63,55,0,3.67
217,Kichera,RU,2022-10-03 05:43:34,55.9375,110.0997,33.46,75,100,6.89
218,Srednekolymsk,RU,2022-10-03 05:43:35,67.45,153.6833,28.53,65,95,3.02
219,Wilhelmsburg,AT,2022-10-03 05:43:36,48.1057,15.6054,55.08,92,69,13.8
220,Riyadh,SA,2022-10-03 05:42:18,24.6877,46.7219,84.34,11,1,7.72
221,Huarmey,PE,2022-10-03 05:43:36,-10.0681,-78.1522,61.66,88,42,7.52
222,Sola,VU,2022-10-03 05:43:37,-13.8833,167.55,80.87,75,33,7.2
223,San Ramon,US,2022-10-03 05:41:50,37.7799,-121.978,62.49,80,0,8.05
224,Salym,RU,2022-10-03 05:43:38,60.0625,71.4789,41.56,55,100,12.82
225,Fort Nelson,CA,2022-10-03 05:43:39,58.8053,-122.7002,38.79,65,75,4.61
226,Presidencia Roque Saenz Pena,AR,2022-10-03 05:43:39,-26.7852,-60.4388,58.71,64,50,8.34
227,Santa Cruz Do Sul,BR,2022-10-03 05:43:40,-29.7175,-52.4258,53.82,98,5,0.89
228,Qeshm,IR,2022-10-03 05:43:40,26.9581,56.2719,89.49,72,0,8.66
229,Kaeo,NZ,2022-10-03 05:43:41,-35.1,173.7833,62.33,83,57,8.68
230,Rubtsovsk,RU,2022-10-03 05:43:41,51.5,81.25,44.4,41,5,9.17
231,Manokwari,ID,2022-10-03 05:44:42,-0.8667,134.0833,84.04,70,13,9.84
232,Linden,GY,2022-10-03 05:44:42,6.0,-58.3,74.1,93,85,1.36
233,Ixtapa,MX,2022-10-03 05:44:43,20.7,-105.2,79.23,100,100,4.61
234,Wick,GB,2022-10-03 05:44:44,58.4333,-3.0833,53.65,87,100,6.91
235,Port Lincoln,AU,2022-10-03 05:44:44,-34.7333,135.8667,62.08,66,100,9.01
236,Mangan,IN,2022-10-03 05:44:45,27.5167,88.5333,85.15,59,13,6.58
237,Caldwell,US,2022-10-03 05:40:38,43.6629,-116.6874,62.74,61,0,0.0
238,Mizdah,LY,2022-10-03 05:44:45,31.4451,12.9801,63.09,61,0,2.75
239,Sitka,US,2022-10-03 05:44:46,57.0531,-135.33,48.97,79,96,0.74
240,Severo-Yeniseyskiy,RU,2022-10-03 05:44:46,60.3725,93.0408,32.67,60,100,6.11
241,Codrington,AU,2022-10-03 05:44:47,-38.2667,141.9667,55.15,87,74,8.12
242,Emerald,AU,2022-10-03 05:44:48,-23.5333,148.1667,76.33,52,98,7.96
243,Bengkulu,ID,2022-10-03 05:44:48,-3.8004,102.2655,81.91,76,88,6.64
