City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Kavaratti,IN,10.5669,72.642,81.52,78,100,14.74,overcast clouds
156,Bor,RU,56.3567,44.0669,48.13,92,3,9.71,clear sky
157,Port Blair,IN,11.6667,92.75,84.24,79,40,2.3,scattered clouds
158,Talnakh,RU,69.4865,88.3972,33.21,95,100,24.34,snow
159,Tuatapere,NZ,-46.1333,167.6833,46.31,90,100,11.36,overcast clouds
160,Acapulco,MX,16.8634,-99.8901,82.22,69,40,8.05,scattered clouds
161,Bridlington,GB,54.0831,-0.1919,55.33,88,99,18.68,overcast clouds
162,Port Hedland,AU,-20.3167,118.5667,80.65,61,75,11.5,broken clouds
163,Nome,US,64.5011,-165.4064,44.67,81,100,11.5,overcast clouds
164,Norman Wells,CA,65.282,-126.8329,35.64,100,100,4.61,light rain
165,Waipawa,NZ,-41.4122,175.5153,57.92,55,10,9.44,clear sky
166,Vardo,NO,70.3705,31.1107,37.38,87,100,5.75,overcast clouds
167,Lewistown,US,40.5992,-77.5714,50.74,81,0,0.0,clear sky
168,Haines Junction,CA,60.7522,-137.5108,53.55,50,100,11.5,overcast clouds
169,West Bay,KY,19.3667,-81.4167,82.47,71,40,6.91,scattered clouds
170,Alta Floresta,BR,-9.8756,-56.0861,73.08,81,14,1.92,light rain
171,Kilis,TR,36.7161,37.115,62.83,78,0,3.69,clear sky
172,Dudinka,RU,69.4058,86.1778,33.62,95,100,25.48,light snow
173,Sao Filipe,CV,14.8961,-24.4956,79.07,80,100,8.5,light rain
174,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,93,49,10.51,light rain
175,Mount Gambier,AU,-37.8333,140.7667,58.64,73,100,10.38,overcast clouds
176,Cam Ranh,VN,11.9214,109.1591,78.76,94,75,4.61,light rain
177,Orange,US,33.7,-117.7675,85.23,74,20,5.75,few clouds
178,Teguise,ES,29.0605,-13.564,73.62,47,100,12.66,overcast clouds
179,The Valley,AI,18.217,-63.0578,82.26,74,75,14.99,broken clouds
180,East London,ZA,-33.0153,27.9116,63.14,71,100,14.74,overcast clouds
181,Jumla,NP,29.2747,82.1838,59.4,70,0,1.28,clear sky
